Track_Artists,duration_ms,id,Track_Name,Album_ID,total_tracks,Album_Name,release_date,Album_Artists,Producer,Producer_ID,_merge
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",261974,56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yMmYEklQ7gLOZXEFNd3xr'}, 'href': 'https://api.spotify.com/v1/artists/3yMmYEklQ7gLOZXEFNd3xr', 'id': '3yMmYEklQ7gLOZXEFNd3xr', 'name': 'Palak Muchhal', 'type': 'artist', 'uri': 'spotify:artist:3yMmYEklQ7gLOZXEFNd3xr'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",304899,6UgcN95w7vQxkR8sEFmwHG,Chahun Main Ya Naa,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0T1CMVkqffHlqEk4BcAph1'}, 'href': 'https://api.spotify.com/v1/artists/0T1CMVkqffHlqEk4BcAph1', 'id': '0T1CMVkqffHlqEk4BcAph1', 'name': 'Tulsi Kumar', 'type': 'artist', 'uri': 'spotify:artist:0T1CMVkqffHlqEk4BcAph1'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",306511,55eUtE9v3uatR0y0NijM6N,Hum Mar Jayenge,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yMmYEklQ7gLOZXEFNd3xr'}, 'href': 'https://api.spotify.com/v1/artists/3yMmYEklQ7gLOZXEFNd3xr', 'id': '3yMmYEklQ7gLOZXEFNd3xr', 'name': 'Palak Muchhal', 'type': 'artist', 'uri': 'spotify:artist:3yMmYEklQ7gLOZXEFNd3xr'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",266069,3E9ryvrKP3hUWX79PAakH2,Meri Aashiqui,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",214470,06zJUeKU5KFy50Cho6pDcr,Aasan Nahin Yahan,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",295798,2iGnFW7m517taq3AJIE6DK,Milne Hai Mujhse Aayi,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",228982,5cgKosPPj5Cs9a2JQufUc1,Ilahi,2Lxoc72vRTGdQfMvj7Ovi1,9,Yeh Jawaani Hai Deewani,2013-03-30,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3eDT9fwXKuHWFvgZaaYC5v'}, 'href': 'https://api.spotify.com/v1/artists/3eDT9fwXKuHWFvgZaaYC5v', 'id': '3eDT9fwXKuHWFvgZaaYC5v', 'name': 'Sunidhi Chauhan', 'type': 'artist', 'uri': 'spotify:artist:3eDT9fwXKuHWFvgZaaYC5v'}]",260552,3W1XPf7mvuQcWQB7U7MbTM,Dilliwaali Girlfriend,2Lxoc72vRTGdQfMvj7Ovi1,9,Yeh Jawaani Hai Deewani,2013-03-30,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3xU8YsNNkmWSPewlB18NUz'}, 'href': 'https://api.spotify.com/v1/artists/3xU8YsNNkmWSPewlB18NUz', 'id': '3xU8YsNNkmWSPewlB18NUz', 'name': 'Harshdeep Kaur', 'type': 'artist', 'uri': 'spotify:artist:3xU8YsNNkmWSPewlB18NUz'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",270438,3jJ5HgLRNydtLRghjWVaCG,Kabira (Encore),2Lxoc72vRTGdQfMvj7Ovi1,9,Yeh Jawaani Hai Deewani,2013-03-30,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5o36rLQd78Zh8CaT8rn59d'}, 'href': 'https://api.spotify.com/v1/artists/5o36rLQd78Zh8CaT8rn59d', 'id': '5o36rLQd78Zh8CaT8rn59d', 'name': 'Shreyas Puranik', 'type': 'artist', 'uri': 'spotify:artist:5o36rLQd78Zh8CaT8rn59d'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6k6TIai4KyKG1DeIMftSmJ'}, 'href': 'https://api.spotify.com/v1/artists/6k6TIai4KyKG1DeIMftSmJ', 'id': '6k6TIai4KyKG1DeIMftSmJ', 'name': 'Siddharth - Garima', 'type': 'artist', 'uri': 'spotify:artist:6k6TIai4KyKG1DeIMftSmJ'}]",271169,0rHlfhO0oh1klqPfr7ZUd2,Satranga,0a183xiCHiC1GQd8ou7WXO,8,ANIMAL,2023-11-24,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3pQ4aA7dkolyjUAMrVScgh'}, 'href': 'https://api.spotify.com/v1/artists/3pQ4aA7dkolyjUAMrVScgh', 'id': '3pQ4aA7dkolyjUAMrVScgh', 'name': 'Manan Bhardwaj', 'type': 'artist', 'uri': 'spotify:artist:3pQ4aA7dkolyjUAMrVScgh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5wJ1H6ud777odtZl5gG507'}, 'href': 'https://api.spotify.com/v1/artists/5wJ1H6ud777odtZl5gG507', 'id': '5wJ1H6ud777odtZl5gG507', 'name': 'Vishal Mishra', 'type': 'artist', 'uri': 'spotify:artist:5wJ1H6ud777odtZl5gG507'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5gZhfbckaWo89OzDSk3gdT'}, 'href': 'https://api.spotify.com/v1/artists/5gZhfbckaWo89OzDSk3gdT', 'id': '5gZhfbckaWo89OzDSk3gdT', 'name': 'Jaani', 'type': 'artist', 'uri': 'spotify:artist:5gZhfbckaWo89OzDSk3gdT'}]",Manan Bhardwaj,3pQ4aA7dkolyjUAMrVScgh,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0y59o4v8uw5crbN9M3JiL1'}, 'href': 'https://api.spotify.com/v1/artists/0y59o4v8uw5crbN9M3JiL1', 'id': '0y59o4v8uw5crbN9M3JiL1', 'name': 'Badshah', 'type': 'artist', 'uri': 'spotify:artist:0y59o4v8uw5crbN9M3JiL1'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",213599,1tf2iody5iRLYYPDSBpzRc,Soulmate,0LcyzKKw3RjFKL6ygISTeU,16,Ek Tha Raja,2024-03-18,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0y59o4v8uw5crbN9M3JiL1'}, 'href': 'https://api.spotify.com/v1/artists/0y59o4v8uw5crbN9M3JiL1', 'id': '0y59o4v8uw5crbN9M3JiL1', 'name': 'Badshah', 'type': 'artist', 'uri': 'spotify:artist:0y59o4v8uw5crbN9M3JiL1'}]",Badshah,0y59o4v8uw5crbN9M3JiL1,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",398799,3HiobOOpSpMsi95WBKPBYk,Hamari Adhuri Kahani (Title Track),7sVzilmsqYcLMYw2gtvoZM,6,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),2015-05-21,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5ugsiK49gIkIVh8U93EO0z'}, 'href': 'https://api.spotify.com/v1/artists/5ugsiK49gIkIVh8U93EO0z', 'id': '5ugsiK49gIkIVh8U93EO0z', 'name': 'Ami Mishra', 'type': 'artist', 'uri': 'spotify:artist:5ugsiK49gIkIVh8U93EO0z'}]",Jeet Gannguli,2kkQthS9OLpK4UqNWYqoVl,both
